  PID TTY      STAT   TIME COMMAND
  835 ?        Ss     0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
  897 tty1     Ss+    0:00 /sbin/agetty -o -p -- \u --noclear - linux
  898 ?        Ss+    0:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
  925 ?        I<     0:00 [kworker/0:1H-kblockd]
  958 ?        Ss     0:00 /lib/systemd/systemd --user
  959 ?        S      0:00 (sd-pam)
  993 ?        Ss     0:00 SCREEN
  994 pts/1    Ss     0:00 /bin/bash
 1000 ?        I      0:00 [kworker/0:2-events]
 1351 ?        I      0:00 [kworker/u8:2-btrfs-delayed-meta]
 1535 ?        I<     0:00 [kworker/0:2H-kblockd]
 2242 ?        I<     0:00 [kworker/0:0H-kblockd]
 2643 ?        I      0:00 [kworker/u11:0-btrfs-endio-write]
 2647 ?        I      0:00 [kworker/u11:3-btrfs-worker]
 2918 ?        Ss     0:01 /mnt/data/builds/no-1-1000-0/bin/postgres -D /mnt/data/data-test
 2919 ?        Ss     0:00 postgres: checkpointer 
 2920 ?        Ss     0:00 postgres: background writer 
 2922 ?        Ss     0:00 postgres: walwriter 
 2923 ?        Ss     0:00 postgres: autovacuum launcher 
 2924 ?        Ss     0:00 postgres: logical replication launcher 
 2927 pts/1    S+     0:00 /bin/bash ./run-star.sh rpi5-32 scalability-no-1-1000-0-1722537864 1000 no 1 /mnt/data/lock-scalability-test/20240801-0812-glibc-tuned/logs/star-no-1-1000-0 1 10 1 4 8 0
 2928 pts/1    R+     0:00 ps ax
 3234 ?        I<     0:03 [kworker/1:0H-kblockd]
 3370 ?        I      0:00 [kworker/u11:2-btrfs-worker]
 3373 ?        I      0:00 [kworker/u11:6-writeback]
 4176 ?        I      0:00 [kworker/u9:2-btrfs-endio]
 4189 ?        I<     0:00 [kworker/1:1H-kblockd]
 4220 ?        I      0:00 [kworker/u8:4-btrfs-delayed-meta]
 5764 ?        I      0:00 [kworker/u10:1-btrfs-endio-write]
 5906 ?        I      0:00 [kworker/1:0-events]
 6445 ?        I      0:00 [kworker/0:0-events_freezable_power_]
 6661 ?        I      0:00 [kworker/2:1-mm_percpu_wq]
 7059 ?        I      0:01 [kworker/u8:0-btrfs-delayed-meta]
 7732 ?        I      0:00 [kworker/3:1-events_power_efficient]
 8214 ?        I      0:01 [kworker/0:1-events]
 8847 ?        I      0:00 [kworker/u12:5-writeback]
 9432 ?        I      0:00 [kworker/2:2-mm_percpu_wq]
10342 ?        I      0:00 [kworker/u9:5-btrfs-worker]
10788 ?        I      0:01 [kworker/u8:1-btrfs-delayed-meta]
11463 ?        I      0:00 [kworker/u11:1-btrfs-endio-write]
12792 pts/1    S+     0:02 /usr/bin/bash -x ./run.sh glibc-tuned
13845 ?        I      0:00 [kworker/2:3]
15769 ?        I      0:00 [kworker/u12:0-btrfs-endio-write]
16086 ?        I<     0:00 [kworker/2:2H]
16494 ?        I      0:00 [kworker/u10:2-btrfs-worker]
16818 ?        I<     0:00 [kworker/3:0H]
18000 ?        I<     0:00 [kworker/2:0H-kblockd]
18893 ?        I      0:00 [kworker/u10:8-flush-btrfs-1]
19291 ?        I      0:00 [kworker/u8:5-btrfs-delayed-meta]
19704 ?        I<     0:00 [kworker/1:2H-kblockd]
20396 ?        I      0:00 [kworker/u11:7-btrfs-worker]
21156 ?        I      0:00 [kworker/u10:5-btrfs-endio-write]
21537 ?        I      0:00 [kworker/2:0-events_power_efficient]
21737 ?        I<     0:00 [kworker/R-wg-cr]
21983 ?        I<     0:00 [kworker/3:2H-kblockd]
24173 ?        I      0:00 [kworker/3:0-events_power_efficient]
24174 ?        I      0:00 [kworker/u12:1-btrfs-endio-write]
24183 ?        I      0:00 [kworker/u12:4-btrfs-worker]
24185 ?        I      0:00 [kworker/u12:7-btrfs-endio-write]
24186 ?        I      0:00 [kworker/u9:3-btrfs-endio-write]
24348 ?        I      0:00 [kworker/u8:6-btrfs-delayed-meta]
25516 ?        I      0:00 [kworker/u11:4-btrfs-worker]
25774 ?        I      0:00 [kworker/u9:1-btrfs-endio-write]
26579 ?        I      0:00 [kworker/u10:4-btrfs-worker]
28234 ?        I      0:00 [kworker/u10:0-btrfs-worker]
28520 ?        I      0:00 [kworker/3:2-events_power_efficient]
28692 ?        I      0:00 [kworker/1:1]
28938 ?        I      0:00 [kworker/u9:0-btrfs-endio-write]
29476 ?        I<     0:00 [kworker/2:1H-kblockd]
30333 ?        I      0:00 [kworker/1:2-events]
